departure_country.x,count,,
Mexico,565,,
Ecuador,504,,
Guatemala,156,,
No Country Listed,118,,
Honduras,115,,
Nicaragua,87,,
Venezuela,75,,
El Salvador,70,,
Colombia,27,,
Dominican Republic,7,Other,43
Spain,5,,
Peru,3,,
Brazil,2,,
Kenya,2,,
"China, Peoples Republic of",2,,
India,2,,
Costa Rica,2,,
Serbia,2,,
Somalia,2,,
Indonesia,1,,
Jamaica,1,,
Liberia,1,,
"Micronesia, Federated States of",1,,
Mongolia,1,,
Georgia,1,,
Nigeria,1,,
Ethiopia,1,,
Russia,1,,
Chile,1,,
Taiwan,1,,
United Kingdom,1,,
Uzbekistan,1,,
Laos,1,,